cz,cx,cy,a,b,theta,R3,R4,phi,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
11.9,0.8,-2.4,7.7,5.9,26.5,-0.2,-0.5,,-4.935497926,-0.491867438,-1.638114855,-1.730879658,-0.039539405,-0.942381968,-0.061282627,-0.537010508,-0.121554962,-0.192413391,-1.63248609,2,Done,BTBT_a=7.7_b=5.9_theta=26.5_R3=-0.2_R4=-0.5_cx=0.8_cy=-2.4_cz=11.9.log
11.9,-0.8,-2.4,7.7,5.9,26.5,-0.2,-0.5,,-4.88487042,-1.638114855,-0.491867438,-0.942381968,-0.061282627,-1.730879658,-0.039539405,-1.554881929,-0.179398834,-0.127635534,-0.570921148,2,Done,BTBT_a=7.7_b=5.9_theta=26.5_R3=-0.2_R4=-0.5_cx=-0.8_cy=-2.4_cz=11.9.log
11.9,0.8,-2.4,7.7,5.9,26.5,-0.25,-0.5,,-4.91057323,-0.491867438,-1.638114855,-1.730879658,-0.039539405,-0.942381968,-0.061282627,-0.55378385,-0.124560735,-0.185805711,-1.594389958,2,Done,BTBT_a=7.7_b=5.9_theta=26.5_R3=-0.25_R4=-0.5_cx=0.8_cy=-2.4_cz=11.9.log
11.9,-0.8,-2.4,7.7,5.9,26.5,-0.25,-0.5,,-4.91057323,-1.638114855,-0.491867438,-0.942381968,-0.061282627,-1.730879658,-0.039539405,-1.594389958,-0.185805711,-0.124560735,-0.55378385,1,Done,BTBT_a=7.7_b=5.9_theta=26.5_R3=-0.25_R4=-0.5_cx=-0.8_cy=-2.4_cz=11.9.log
11.8,0.8,-2.4,7.7,5.9,26.5,-0.2,-0.5,,-4.86067991,-0.103878005,-1.665122885,-1.815430355,-0.041817266,-0.814928412,-0.064118972,-0.570921148,-0.127635534,-0.206312738,-1.703162542,2,Done,BTBT_a=7.7_b=5.9_theta=26.5_R3=-0.2_R4=-0.5_cx=0.8_cy=-2.4_cz=11.8.log
11.8,-0.8,-2.4,7.7,5.9,26.5,-0.2,-0.5,,-4.817789601,-1.665122885,-0.103878005,-0.814928412,-0.064118972,-1.815430355,-0.041817266,-1.632479815,-0.192413391,-0.13397966,-0.606268786,2,Done,BTBT_a=7.7_b=5.9_theta=26.5_R3=-0.2_R4=-0.5_cx=-0.8_cy=-2.4_cz=11.8.log
11.8,0.8,-2.4,7.7,5.9,26.5,-0.25,-0.5,,-4.839946979,-0.103878005,-1.665122885,-1.815430355,-0.041817266,-0.814928412,-0.064118972,-0.588416127,-0.130779359,-0.19925325,-1.668850295,2,Done,BTBT_a=7.7_b=5.9_theta=26.5_R3=-0.25_R4=-0.5_cx=0.8_cy=-2.4_cz=11.8.log
11.8,-0.8,-2.4,7.7,5.9,26.5,-0.25,-0.5,,-4.839946979,-1.665122885,-0.103878005,-0.814928412,-0.064118972,-1.815430355,-0.041817266,-1.668850295,-0.19925325,-0.130779359,-0.588416127,1,Done,BTBT_a=7.7_b=5.9_theta=26.5_R3=-0.25_R4=-0.5_cx=-0.8_cy=-2.4_cz=11.8.log
12,0.8,-2.4,7.7,5.9,26.5,-0.2,-0.5,,-4.88941673,-0.737650555,-1.583609337,-1.641748138,-0.037374496,-1.010717807,-0.058559233,-0.504587066,-0.115719119,-0.179398834,-1.554881929,2,Done,BTBT_a=7.7_b=5.9_theta=26.5_R3=-0.2_R4=-0.5_cx=0.8_cy=-2.4_cz=12.0.log
12,-0.8,-2.4,7.7,5.9,26.5,-0.2,-0.5,,-4.833292235,-1.583609337,-0.737650555,-1.010717807,-0.058559233,-1.641748138,-0.037374496,-1.472684394,-0.16721259,-0.121554962,-0.537010508,2,Done,BTBT_a=7.7_b=5.9_theta=26.5_R3=-0.2_R4=-0.5_cx=-0.8_cy=-2.4_cz=12.0.log
