X,Y,Z,R
0.030080404,-0.437469521,-4.436746259,1.2
0.16089366,-0.903942452,-5.871464957,1.7
-0.964161699,-1.686656621,-6.425015189,1.7
-0.713394618,-2.210560901,-7.828642212,1.7
-1.73475975,-3.074707249,-8.406019284,1.7
-1.429799231,-3.601384534,-9.784465365,1.7
-2.421069052,-4.459022641,-10.41723126,1.7
-2.077318701,-4.988723047,-11.77807605,1.7
-3.103615906,-5.819779696,-12.42237096,1.7
-2.86025377,-6.285730136,-13.67892531,1.7
0.346010376,-0.018363587,-6.506464873,1.2
1.0882057,-1.505451586,-5.944892557,1.2
-1.888617199,-1.078342158,-6.416321116,1.2
-1.185580905,-2.546113442,-5.762357916,1.2
-0.536394851,-1.342472868,-8.496328824,1.2
0.258427353,-2.746934462,-7.819174421,1.2
-2.706983809,-2.540657507,-8.437696172,1.2
-1.919707847,-3.936888229,-7.732298017,1.2
-1.221453884,-2.733387991,-10.44494025,1.2
-0.457770208,-4.136384762,-9.736984261,1.2
-3.387893044,-3.917866515,-10.48895738,1.2
-2.645671241,-5.32072551,-9.753843313,1.2
-1.833344324,-4.131060804,-12.44067409,1.2
-1.126171423,-5.557887341,-11.71284615,1.2
-3.327317242,-6.661960679,-11.72972422,1.2
-4.05278315,-5.238355536,-12.40223421,1.2
-3.680352937,-6.899558062,-14.08932001,1.2
-2.694328264,-5.478963892,-14.42017277,1.2
-1.954557126,-6.92105847,-13.74369281,1.2
