a,b,theta,R3,R4,A1,A2,E,E_p,E_t1,E_t2,machine_type,status,file_name
7.2,5.8,25.5,2.1,1.9,0,0.0,-55.34698189934716,-7.701110199908726,-9.61016379238572,-10.362216957379133,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=0.0_a=7.2_b=5.8_cx=0_cy=0_cz=0.log
7.2,5.8,25.5,2.1,1.9,0,-0.5,-55.53985086258035,-7.74807179311756,-9.669732689391822,-10.352120948780794,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-0.5_a=7.2_b=5.8_cx=0_cy=0_cz=0.log
7.3,5.8,25.5,2.1,1.9,0,-1.0,-55.95463873795234,-7.782480676542036,-9.781741969345603,-10.413096723088527,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-1.0_a=7.3_b=5.8_cx=0_cy=0_cz=0.log
7.3,5.8,25.5,2.1,1.9,0,-1.5,-55.80499140836764,-7.805421187193133,-9.77563315955922,-10.321441357431468,1,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-1.5_a=7.3_b=5.8_cx=0_cy=0_cz=0.log
7.3,5.8,25.5,2.1,1.9,0,-2.0,-55.50829464010894,-7.818030373076908,-9.745431103161536,-10.190685843816029,1,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2.0_a=7.3_b=5.8_cx=0_cy=0_cz=0.log
7.3,5.8,25.5,2.1,1.9,0,-2.5,-55.07378663599957,-7.8215130537282676,-9.69264307944104,-10.022737184830476,1,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2.5_a=7.3_b=5.8_cx=0_cy=0_cz=0.log
7.3,5.9,25.5,2.1,1.9,0,-1.0,-55.762384734349325,-7.524377028574236,-9.848835965967735,-10.50797937263269,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-1.0_a=7.3_b=5.9_cx=0_cy=0_cz=0.log
7.2,5.9,25.5,2.1,1.9,0,-0.5,-55.6402261077892,-7.528822309337556,-9.790160016040318,-10.501130728516728,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-0.5_a=7.2_b=5.9_cx=0_cy=0_cz=0.log
7.2,5.9,25.5,2.1,1.9,0,0.0,-55.54858956730459,-7.52565087378025,-9.737194406974597,-10.511449502897449,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=0.0_a=7.2_b=5.9_cx=0_cy=0_cz=0.log
7.3,5.9,25.5,2.1,1.9,0,-1.5,-55.557716073002666,-7.513262571417727,-9.841926453460474,-10.423669011623131,1,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-1.5_a=7.3_b=5.9_cx=0_cy=0_cz=0.log
